agi,balnce,exempt,wages,agir1,year,taxba
4977000,-36290,0,0,32,2006,1503000
420500,-51360,0,0,28,2006,54450
1771000,-165700,0,413400,31,2006,297000
715600,-135900,0,460300,29,2006,142300
450000,47640,0,0,28,2006,74520
3786000,-97490,0,203800,32,2006,546300
3090000,-141300,0,0,32,2006,402800
3219000,-22420,0,0,32,2006,510100
6803000,-740,0,4917000,33,2006,1840000
3269000,-105000,0,132300,32,2006,916800
37460,-7938,9600,70640,23,2006,1098
551500,-60450,0,116000,29,2006,64880
2113000,27510,0,1786000,32,2006,648900
376900,-33480,0,339600,28,2006,56800
901300,-1791,0,783100,29,2006,206200
9785000,-272200,0,8462000,33,2006,2753000
744200,298,0,23280,29,2006,98430
1190000,-377700,0,0,30,2006,97040
1392000,-28460,0,1290000,30,2006,373900
386700,22570,0,217500,28,2006,100600
-603800,-1285,9600,15770,0,2006,0
73050,2888,6400,56040,25,2006,7381
15520,-736,6400,0,16,2006,181
350000,54210,0,0,28,2006,71260
126400,902,9600,118700,27,2006,15740
89530,-79470,3200,154000,26,2006,0
356500,19110,0,299500,28,2006,59460
2585000,-87940,0,2828000,32,2006,768500
130000,9291,18600,88030,27,2006,15070
1063000,12410,0,0,30,2006,249600
7871,-1197,3200,0,8,2006,0
829900,-2842,0,431500,29,2006,217500
51200,1147,16000,15550,25,2006,0
-587900,-16120,0,66690,0,2006,0
590600,-4595,0,159300,29,2006,156200
392500,-75450,0,118300,28,2006,8104
965600,29150,0,0,29,2006,276500
4898000,-23430,0,358600,32,2006,908200
7205000,-2306000,0,136100,33,2006,1967000
14520000,-328300,0,123000,34,2006,2243000
5921000,-50690,0,386500,33,2006,873700
26540,-417,3300,26510,22,2006,2334
14220,-791,3300,14210,15,2006,578
33130,-1406,3300,33280,23,2006,3324
10350,-713,3300,10970,11,2006,191
3897,-757,3300,3960,4,2006,0
14860,-1416,3300,14810,15,2006,643
51030,-1490,3300,50750,25,2006,7201
7150,-467,3300,7176,8,2006,0
13590,-686,6600,13510,14,2006,0
30720,-3005,3300,30830,23,2006,2964
43700,-1387,3300,43870,24,2006,5376
33700,-631,3300,33740,23,2006,3406
2074,-189,3300,2083,3,2006,0
7350,-579,3300,7359,8,2006,0
2788,-66,3300,2650,3,2006,0
1356,-125,0,1389,2,2006,0
36300,-1167,3300,36290,23,2006,3796
7688,-1193,3300,6345,8,2006,0
13690,-3687,6600,13680,14,2006,0
28860,-6423,13200,28930,22,2006,813
19020,-5907,9900,19040,20,2006,156
20670,-5554,9900,19980,21,2006,323
27210,-4379,9900,28680,22,2006,978
46820,-3907,13200,46880,24,2006,2744
14270,-5666,9900,14620,15,2006,0
17520,-5830,13200,17550,18,2006,0
24910,-5512,16500,24300,21,2006,86
12410,-4703,9900,12410,13,2006,0
20500,-5598,9900,20510,21,2006,303
14370,-5195,9900,14380,15,2006,0
4186,-1722,9900,4181,5,2006,0
22650,-3226,6600,22590,21,2006,848
36890,-2843,6600,38620,23,2006,2871
27870,-3388,13200,27730,22,2006,713
28650,-3426,6600,28650,22,2006,1641
22070,-1045,3300,22140,21,2006,1666
30640,-2089,6600,30630,23,2006,1934
11260,-6213,9900,11110,12,2006,0
27100,-1446,6600,27110,22,2006,1409
54220,-4256,6600,53640,25,2006,5474
13790,-930,3300,13770,14,2006,408
6188,-2525,9900,6190,7,2006,0
27150,-5998,9900,27140,22,2006,1441
8099,-3093,9900,6743,9,2006,0
7201,-3034,6600,6707,8,2006,0
15160,-1197,3300,15180,16,2006,548
59260,-2029,13200,59870,25,2006,4611
6258,-3136,13200,5887,7,2006,0
27050,-7738,13200,27070,22,2006,633
5248,-2309,9900,5239,6,2006,0
19780,-4710,9900,19810,20,2006,234
23870,-4598,13200,23820,21,2006,36
11000,-4291,9900,11110,12,2006,0
34580,-2211,13200,34610,23,2006,1536
15660,-6642,9900,15670,16,2006,0
16410,-122,3300,16380,17,2006,673
4632,-1597,6600,4537,5,2006,0
10490,-3824,6600,10600,11,2006,0
19250,-3865,6600,19270,20,2006,513
16960,-954,3300,16950,17,2006,901
22730,-3562,13200,22750,21,2006,199
40190,-1835,6600,39500,24,2006,2031
70620,-2863,9900,70540,25,2006,6809
23670,-3438,13200,23670,21,2006,291
39260,-2576,6600,34340,23,2006,2126
11340,-3109,9900,1571,12,2006,0
16210,-3977,6600,16110,17,2006,206
54180,-5699,13200,53220,25,2006,3681
12200,-3515,6600,9599,13,2006,0
35320,-1383,3300,35370,23,2006,3654
8550,-1487,6600,0,9,2006,0
17620,-474,3300,17610,18,2006,999
7379,-1896,16500,4178,8,2006,0
15440,-2740,16500,0,16,2006,0
8420,-1467,6600,0,9,2006,0
30100,-727,3300,29710,23,2006,2866
25040,-5313,9900,24120,22,2006,758
17450,-4624,6600,15830,18,2006,333
34560,-722,3300,34250,23,2006,4376
28160,-4715,9900,28210,22,2006,588
28730,-4676,19800,28680,22,2006,0
8085,-1558,6600,0,9,2006,0
55920,-5484,6600,55310,25,2006,4259
12920,-1066,6600,0,13,2006,0
21830,-5285,9900,21240,21,2006,343
33700,-4567,3300,33650,23,2006,2626
35470,-2015,6600,22990,23,2006,2661
33930,-5775,13200,33980,23,2006,1439
15330,-2870,13200,0,16,2006,0
27100,-3565,6600,27310,22,2006,1409
7713,-1494,6600,0,8,2006,0
779500,-42070,3300,756600,29,2006,209200
16190,-4547,13200,14300,17,2006,0
35590,-3942,13200,35430,23,2006,1208
12160,-3620,9900,5239,13,2006,0
8316,-1483,6600,0,9,2006,0
47700,-3179,9900,47760,24,2006,3366
20500,-3225,6600,20440,21,2006,638
44200,-373,3300,44240,24,2006,5501
34780,-3536,6600,36190,23,2006,1724
8218,-1538,6600,0,9,2006,0
25300,-5192,9900,25250,22,2006,788
28810,-4727,13200,25050,22,2006,808
8480,-2161,13200,0,9,2006,0
7899,-1999,9900,0,8,2006,0
46250,-5899,6600,46260,24,2006,2694
17150,-836,3300,17130,18,2006,924
16290,-5410,9900,16240,17,2006,0
12000,-3354,13200,2318,12,2006,0
33580,-3714,13200,28960,23,2006,923
36400,-530,9900,37030,23,2006,1671
4800,-2086,9900,4794,5,2006,0
40990,-2860,3300,45300,24,2006,3436
50130,-5165,16500,50140,25,2006,3374
13970,-4987,9900,13960,14,2006,0
10270,-3204,9900,10360,11,2006,0
43820,-3118,3300,43770,24,2006,3331
35120,-724,6600,35070,23,2006,2609
22940,-881,3300,22990,21,2006,1794
11070,-512,3200,11050,12,2006,286
4719,-208,0,4643,5,2006,0
4487,-94,0,4512,5,2006,0
-268900,-876,6400,60,0,2006,0
607500,84120,0,14060,29,2006,83680
1353000,627,0,450800,30,2006,420700
89110,-1662,16000,57540,26,2006,6941
16900,0,3200,0,17,2006,0
56010,-1364,3200,56410,25,2006,8621
406,-30,3300,0,1,2006,0
71500,-4661,3200,50350,25,2006,3668
205800,3338,16000,196900,28,2006,36180
-123200,-53470,0,234900,0,2006,0
-9759,-478,3200,2702,0,2006,0
14770,0,6200,0,15,2006,0
141500,-1377,6400,73880,27,2006,24260
72780,4559,19200,70770,25,2006,5559
-602700,0,6200,0,0,2006,0
411600,-9791,0,393500,28,2006,97720
72720,8946,3200,0,25,2006,8946
1401000,-802,0,8923,30,2006,548
-5022000,0,0,0,0,2006,0
-672100,0,6400,0,0,2006,0
615500,35770,0,293600,29,2006,156700
328800,-8833,768,60430,28,2006,76950
2328000,342700,0,80830,32,2006,417500
97060,-6068,6400,4793,26,2006,13000
212000,-10980,6400,24050,28,2006,38700
4533000,-11150,0,542300,32,2006,814000
10630000,-192600,0,35480,34,2006,1916000
683900,-2426,0,643200,29,2006,185800
662300,44040,0,438300,29,2006,156500
459100,22980,0,320000,28,2006,116400
243200,-29900,5120,6217,28,2006,28200
2221000,-30930,0,131700,32,2006,657200
195000,-6303,6400,166300,27,2006,24010
35940,-310,3100,11910,23,2006,1471
953,-16,9600,0,1,2006,0
-168700,-2108,12800,49400,0,2006,0
40970,2446,9600,16210,24,2006,2236
60360,0,6400,0,25,2006,0
27100,-823,24800,5248,22,2006,0
102200,13970,9600,2328,27,2006,13950
25760,-2154,16000,12880,22,2006,0
43990,-3134,6400,30560,24,2006,3406
17180,-862,3200,28670,18,2006,0
1797000,8085,0,0,31,2006,455900
16300,2512,6200,3062,17,2006,528
23130,-2486,3200,24500,21,2006,1851
1193,182,3300,0,2,2006,0
54200,6510,6200,0,25,2006,2956
3344,748,6400,0,4,2006,0
-635500,11140,3200,0,0,2006,0
-703100,2696,3100,0,0,2006,0
1102000,-209000,0,36180,30,2006,164000
1864000,-209900,0,149900,31,2006,543000
11830,39,3200,0,12,2006,239
126500,1413,6400,110300,27,2006,19520
14890,-1102,3100,12760,15,2006,596
43470,945,15500,10740,24,2006,2026
110900,19560,6400,61380,27,2006,13730
7222,-4470,3200,29740,8,2006,0
-115300,603,6200,3560,0,2006,0
69440,408,12800,73250,25,2006,6264
-411800,526,12800,0,0,2006,0
143900,-175700,12800,6223,27,2006,20870
-63340,-3157,6400,27580,0,2006,0
132500,15140,12800,47570,27,2006,18350
-1162000,-48310,0,0,0,2006,0
-240200,-57360,0,0,0,2006,0
24000,4109,9600,0,21,2006,438
28420,8005,6400,0,22,2006,116
143100,-2682,12800,127200,27,2006,14310
144000,38000,15500,0,27,2006,23230
1681000,155300,0,0,31,2006,271200
175100,50090,16000,0,27,2006,31490
75610,14660,9600,14920,26,2006,7329
19650,-909,3300,19580,20,2006,1306
15740,-846,3300,15740,16,2006,728
36810,-1230,3300,37610,23,2006,3879
24060,-829,3300,23960,21,2006,1966
24890,-883,3300,25030,21,2006,2086
40730,-2334,3300,40480,24,2006,4626
6673,-564,3300,4789,7,2006,0
11490,-754,3300,11680,12,2006,303
30360,-1306,3300,30730,23,2006,2911
15450,-258,3300,15510,16,2006,703
8006,-860,3300,8096,9,2006,0
11340,-873,3300,11350,12,2006,289
21750,-883,3300,21620,21,2006,1614
29190,-621,3300,29220,22,2006,2731
2987,-201,0,2764,3,2006,0
0,-30,3300,0,0,2006,0
22930,-5123,9900,22940,21,2006,548
28450,-3594,13200,28440,22,2006,768
11330,-3834,6600,11380,12,2006,0
47420,-4345,9900,47390,24,2006,3959
30220,-4338,13200,30190,23,2006,948
16400,-6716,9900,16400,17,2006,0
15020,-6644,13200,15030,16,2006,0
8604,-3319,6600,8799,9,2006,0
22370,-5692,9900,22330,21,2006,493
17870,-4643,6600,17900,18,2006,373
7266,-3246,6600,7255,8,2006,0
37680,-2979,13200,37510,23,2006,1418
65560,-6723,16500,65470,25,2006,5061
11370,-3898,6600,11930,12,2006,0
57130,-1992,13200,57230,25,2006,4289
8860,-3698,13200,8844,9,2006,0
10960,-3301,9900,11010,11,2006,0
15820,-3546,6600,15690,16,2006,166
37610,-4640,13200,37560,23,2006,1413
41540,-2822,6600,41570,24,2006,3569
5131,-2085,13200,5152,6,2006,0
58090,-1079,6600,55710,25,2006,5421
18930,-6890,9900,18930,19,2006,149
26910,-6681,16500,27000,22,2006,11
33440,-2250,9900,33540,23,2006,1859
8924,-4467,13200,8876,9,2006,0
21000,-5226,9900,18040,21,2006,358
8992,-657,6600,9076,9,2006,0
44980,-5917,16500,45400,24,2006,1971
39860,-3892,9900,39480,23,2006,3346
2585,-1037,6600,2596,3,2006,0
20190,-1751,6600,20150,21,2006,886
21500,-5336,9900,21500,21,2006,408
31580,-3728,9900,31590,23,2006,1581
7619,-3118,13200,7576,8,2006,0
7646,-4257,13200,7635,8,2006,0
23410,-845,3300,22190,21,2006,1681
20660,-4755,9900,20620,21,2006,323
9819,-499,3300,0,10,2006,11
24180,-7437,13200,24140,21,2006,343
21800,-4982,6600,21810,21,2006,768
20530,-4027,9900,20520,21,2006,308
2816,-1250,9900,2753,3,2006,0
43430,-1027,9900,43420,24,2006,3359
16550,-4975,6600,16560,17,2006,241
14150,-1038,3300,0,15,2006,443
22630,-5728,9900,22600,21,2006,518
15750,-888,3300,15800,16,2006,728
9159,-4222,9900,9154,10,2006,0
31070,-3274,9900,31040,23,2006,1506
27590,-3861,13200,27770,22,2006,408
25390,-2929,6600,25380,22,2006,1146
55180,-3303,19800,55210,25,2006,3006
21760,-5059,9900,21820,21,2006,433
29580,-5801,9900,29620,22,2006,1281
12840,-5087,13200,13000,13,2006,0
21840,-1372,6600,21870,21,2006,1134
3001,-1410,13200,2989,4,2006,0
10070,-3602,6600,10100,11,2006,0
11410,-2818,9900,0,12,2006,0
9496,-3348,6600,9461,10,2006,0
16930,-1058,3300,16920,17,2006,894
13950,-4531,6600,13960,14,2006,0
175200,-5034,6600,111100,27,2006,10570
17380,-6265,9900,17440,18,2006,0
12550,-2876,13200,0,13,2006,0
7858,-1955,13200,0,8,2006,0
30270,-1586,6600,30270,23,2006,2401
21780,-4688,13200,14320,21,2006,0
12510,-2169,3300,15630,13,2006,408
21110,-4787,9900,21130,21,2006,368
19140,-4221,6600,19120,20,2006,498
14390,-5483,9900,11910,15,2006,0
37100,-6165,13200,37040,23,2006,1363
14370,-3867,9900,6921,15,2006,0
86530,-2696,6600,77980,26,2006,7451
13310,-3088,6600,13140,14,2006,0
11150,-2774,9900,0,12,2006,0
30320,-4672,9900,30350,23,2006,1394
22820,-6048,9900,26350,21,2006,261
15330,-829,3300,15330,16,2006,688
13990,-5484,9900,13990,14,2006,0
7249,-1788,9900,0,8,2006,0
21100,-5905,9900,18580,21,2006,368
56710,-1666,3300,66250,25,2006,8626
9665,-2451,9900,0,10,2006,0
6407,-686,3300,6830,7,2006,0
16850,-3155,6600,13970,17,2006,269
11660,-2818,9900,0,12,2006,0
18340,-2978,13200,5263,19,2006,0
34570,-6320,16500,34500,23,2006,778
9726,-3180,6600,9742,10,2006,0
32500,-3624,3300,32720,23,2006,1726
30740,-4746,9900,30730,23,2006,1454
19030,-5811,13200,19180,20,2006,0
7814,-3506,13200,7840,8,2006,0
21120,-1486,13200,0,21,2006,36
31650,-5065,13200,31620,23,2006,813
21220,-4830,9900,21230,21,2006,378
1,-30,3300,0,1,2006,0
8129,-5561,6600,0,9,2006,0
50670,-2014,3300,50060,25,2006,5739
32840,-2870,6600,32750,23,2006,2264
44420,-2060,6600,44320,24,2006,3314
13930,-1335,3300,13890,14,2006,548
16580,-6152,9900,16560,17,2006,0
26080,-5563,9900,26340,22,2006,863
75900,-3423,6600,70200,26,2006,5864
8085,-1909,6600,0,9,2006,0
23440,-2579,6600,23340,21,2006,928
34030,-2300,9900,34030,23,2006,1949
12620,-5862,9900,12710,13,2006,0
44060,-2292,9900,43700,24,2006,3456
13650,-4741,9900,35170,14,2006,0
8033,-3396,6600,8063,9,2006,0
32370,-3326,9900,30680,23,2006,1701
15190,-3276,6600,12760,16,2006,104
36290,-4479,9900,36060,23,2006,1656
14320,-2545,6600,0,15,2006,0
82060,-1819,3300,81070,26,2006,13890
9036,-3724,9900,9049,10,2006,0
41320,-1281,9900,28880,24,2006,2414
2320000,63800,0,607800,32,2006,151400
15660,-460,3200,15660,16,2006,756
11900,-315,3100,11900,12,2006,398
19290,-1499,6400,19270,20,2006,558
5460,-281,0,5542,6,2006,46
-39420,0,3200,0,0,2006,0
-11010,-6657,16000,38530,0,2006,0
27360,-6709,15500,46300,22,2006,0
430900,-4077,0,333200,28,2006,100900
1038000,37660,0,253200,30,2006,309400
225200,28520,15040,72430,28,2006,31670
3605000,70020,0,99110,32,2006,1034000
391900,98970,0,75620,28,2006,109200
304800,-4444,1920,108100,28,2006,69980
75490,4777,3200,65760,26,2006,13700
1278000,-40390,0,0,30,2006,414800
440200,-64080,0,146900,28,2006,48870
-18410,0,0,0,0,2006,0
707500,-8286,0,0,29,2006,210400
270400,2919,3712,241600,28,2006,58170
98590,-6083,6400,81870,26,2006,12490
-935300,0,0,0,0,2006,0
96200,-2837,9600,34320,26,2006,0
3578000,-70360,0,0,32,2006,822200
15980,-6572,9600,0,16,2006,0
-68250,-2563,0,0,0,2006,0
18420,-1021,6400,17670,19,2006,1379
2334000,-7133,0,0,32,2006,749500
-1357,0,3200,0,0,2006,0
1339000,-214500,0,0,30,2006,114500
8257000,-190000,0,2614,33,2006,1235000
973200,1892,0,848500,29,2006,286500
22340000,957800,0,21300000,34,2006,7221000
3942000,-51610,0,0,32,2006,595400
3239000,26610,0,33350,32,2006,634200
3218000,-14580,0,96830,32,2006,305500
294500,-23930,6080,0,28,2006,55720
2691000,-59540,0,42420,32,2006,408200
2125000,-141500,0,784800,32,2006,629700
753400,-126,0,0,29,2006,121200
127000,17810,3200,0,27,2006,23850
2524000,1312,0,302700,32,2006,567700
314500,10050,2816,312100,28,2006,79710
807800,-12330,1000,0,29,2006,232400
365800,6750,0,391200,28,2006,105000
130800,-2813,3200,173300,27,2006,28550
930700,-25990,0,730700,29,2006,239400
169100,0,9600,5746,27,2006,34710
11250,0,6400,82060,12,2006,0
24,0,3200,69980,1,2006,0
21520,1700,3200,96890,21,2006,1634
146400,-3983,16000,252800,27,2006,23450
108100,11550,3200,200600,27,2006,22490
332000,44210,1024,491100,28,2006,83160
30960,-3,12800,75580,23,2006,408
89790,-11690,3200,117700,26,2006,17350
149000,14,3072,0,27,2006,31720
20780,0,9300,168200,21,2006,433
47270,0,9300,151800,24,2006,3526
209000,-127,16000,341800,28,2006,31800
391,0,3200,30880,1,2006,0
450900,-2700,0,560800,28,2006,132300
416600,-22190,0,526500,28,2006,116400
76640,-200,3200,179700,26,2006,13750
21870,4161,6400,10890,21,2006,548
2373,-13510,16000,176600,3,2006,0
640600,52590,0,752100,29,2006,192600
672500,217,0,736600,29,2006,198400
1331000,99870,0,1659000,30,2006,424100
80500,30640,3200,0,26,2006,14760
513800,1241,0,688300,29,2006,150400
80470,9400,6400,200900,26,2006,9149
255100,632,4480,364200,28,2006,59940
157400,-2109,12800,246100,27,2006,27410
426300,20100,0,402000,28,2006,100800
44330,5769,3200,132200,24,2006,5696
91760,2145,3200,170800,26,2006,17910
207200,16250,12800,203900,28,2006,40710
448000,39710,0,407200,28,2006,112500
168600,819,9600,191900,27,2006,30520
36890,-13050,3200,108400,23,2006,668
87670,-6044,6400,78480,26,2006,9179
101600,6507,22400,79340,27,2006,6633
1900000,91600,0,1929000,31,2006,580300
188000,18360,19200,208000,27,2006,12610
1747000,-23520,0,665900,31,2006,578100
224300,-25460,5580,146300,28,2006,24540
225900,717,6016,330600,28,2006,48920
122400,46,6400,220400,27,2006,19830
581600,-33240,0,737100,29,2006,171900
1006000,-14210,0,996400,30,2006,326700
78350,-5826,12800,0,26,2006,7954
70680,-51,16000,167100,25,2006,3015
2402000,-52170,0,239800,32,2006,808300
243400,-5746,10240,470000,28,2006,54140
126400,802,6400,228000,27,2006,20010
4285000,248200,0,209200,32,2006,329500
501300,6325,0,619300,29,2006,146000
211400,3354,7296,318400,28,2006,49030
31070,5649,6400,13910,23,2006,733
172800,1573,12800,306500,27,2006,31740
428600,1192,0,0,28,2006,116500
554500,359,0,676900,29,2006,164600
14750,0,9600,94550,15,2006,0
387500,10820,0,0,28,2006,56480
466900,2416,0,585400,28,2006,133700
530000,11840,0,860000,29,2006,155300
1017000,100700,0,583300,30,2006,267500
267600,14450,64,262500,28,2006,60480
155500,5775,19200,306200,27,2006,24980
610800,21010,0,898000,29,2006,174600
5473000,-489200,0,3190000,33,2006,1709000
125500,0,12800,211100,27,2006,18990
246300,-31010,9984,259800,28,2006,37950
-288400,0,0,30000,0,2006,0
875800,46,0,929700,29,2006,275400
133700,4290,9600,213600,27,2006,21850
246000,2807,7488,402000,28,2006,55980
560500,7220,0,776300,29,2006,166200
238000,16520,10750,304100,28,2006,52290
28350,-582,6400,117700,22,2006,732
616400,-10780,0,712800,29,2006,186100
143700,2591,12800,180700,27,2006,20170
64000,-615,9600,200800,25,2006,5926
366600,-16270,0,427000,28,2006,101700
1992000,-60290,0,2132000,31,2006,657900
45820,0,3200,5963,24,2006,2673
169900,-8211,9600,234200,27,2006,31510
691200,-1929,0,782400,29,2006,199900
216600,-2036,9600,307000,28,2006,42730
105400,-2392,3200,186400,27,2006,21730
465500,-6008,0,527100,28,2006,125400
535200,-45690,0,458200,29,2006,129500
120000,-11820,12800,292300,27,2006,17630
-709,-6911,0,101800,0,2006,0
2143000,-83720,0,2423000,32,2006,714900
9544000,-3932,0,8351000,33,2006,3293000
596500,-13900,0,715900,29,2006,166000
576600,-3618,0,618700,29,2006,172400
127300,-281,16000,142400,27,2006,17210
293100,-3790,2560,447900,28,2006,51650
263000,-814,6144,357700,28,2006,61970
71350,0,6400,106300,25,2006,7495
132300,-4448,6400,341400,27,2006,22290
73610,79,6400,142400,25,2006,7854
291300,10620,5376,460900,28,2006,71650
308800,1077,2688,402000,28,2006,78320
695900,4619,0,661600,29,2006,208200
95820,117,6400,188000,26,2006,16030
388000,-51810,0,209000,28,2006,99840
115300,-71530,3200,0,27,2006,10200
945900,-22520,0,1046000,29,2006,298100
15940000,28770,0,12640000,34,2006,4742000
159400,-5408,6400,134000,27,2006,24750
389200,42230,0,447900,28,2006,105100
579200,-17280,0,741800,29,2006,172800
233200,-6008,8448,155400,28,2006,39300
535600,-4667,0,630000,29,2006,156300
785600,-14100,0,821200,29,2006,230800
2065000,-116800,0,1936000,32,2006,630700
658000,-5165,0,0,29,2006,197300
58210,-231,6400,121200,25,2006,4982
215300,-6898,1408,0,28,2006,53220
1466000,-37230,0,1484000,30,2006,475800
148200,-3744,9600,165800,27,2006,25730
39640,417,3200,108700,23,2006,1086
189800,3761,6400,272900,27,2006,36160
624000,9003,0,715900,29,2006,182400
138300,-25310,16000,248500,27,2006,13980
59960,-3387,6400,219200,25,2006,3694
11950000,-48040,0,1344000,34,2006,2068000
5381000,678800,0,776300,33,2006,917000
136100,32,9600,263600,27,2006,25780
652900,23700,0,531400,29,2006,195000
230200,407,17280,301000,28,2006,39890
427300,21790,0,565000,28,2006,120000
718300,34500,0,698700,29,2006,203900
2069000,46680,0,1940000,32,2006,666800
238700,14430,10750,148500,28,2006,42320
407400,14520,0,379700,28,2006,103400
177900,907,6400,198900,27,2006,30830
2086000,102000,0,2446000,32,2006,652900
43150,330,3200,121300,24,2006,5318
182800,116,9600,10770,27,2006,35210
716400,34550,0,1103000,29,2006,227900
185100,16500,2176,278300,27,2006,45710
158800,44,12800,286100,27,2006,27810
190600,-165,12800,251600,27,2006,35040
221800,-66780,12290,367400,28,2006,39270
62930,-37270,12800,159600,25,2006,3910
555600,-23560,0,682500,29,2006,160800
797400,-51410,0,0,29,2006,245500
63020,-457,3200,105900,25,2006,9468
1489000,-2289,0,1522000,30,2006,439400
22590,-649,6400,131600,21,2006,309
229600,-3446,11520,280800,28,2006,44380
230800,1236,1024,252500,28,2006,57130
2533000,106200,0,2446000,32,2006,840400
570600,5199,0,216000,29,2006,100500
202800,7815,12800,274500,28,2006,37580
199500,21840,9600,335300,27,2006,39440
4398000,51910,0,3941000,32,2006,1395000
238500,1209,5376,327300,28,2006,28020
152300,36,12800,232000,27,2006,25980
1757000,19630,0,973800,31,2006,552100
343100,2797,0,465500,28,2006,90500
